Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst 
4          24         48         92         53         67         78         72         18         99         10         14         29         23         94        110         72         54 
3          25         12        100         30         51         27         56         73         60         31          4         62         33         77         72         31          4 
1          26         47          5          8          7         81         86         46        108         53         22         29         28        109        116         28         86 
0          27         17         12         40         24        119        117         74         16        101         17         65        100         96         31        104         18 
0          28         51         87         44         60         30         15         76         54         27        100         20         60         78         46         12        110 
1          29         13        102        106         51         36        110        104         14         45         86         40         40        113          3         46         32 
0          30         64         25         21          9         72          9        109         15         79         89         15         49         29         20          5         34 
1          31         53         73         81         13         30         74        113        105        117         67         39         98         14         45         33          5 
2          32          2        104         63         49        110        111         20         54         51        105        107         32        100         33         38         86 
1          33         64         53        111         45          9         63          6         63         49         20         14         66         59         60         69         23 
0          34         44         76          2         20         27         22         31        114         44         65        102         33         66          6         50        103 
1          35         92         26         19        114        101         51         86        112          4         53        102        113         30         22         14         55 
2          36         16         61         97         41         89         50         74         67         30         66         83         66        104          7          7         52 
1          37         22         37        116         89         61         25         90         96         65         72         11         22         77         42         48         75 
2          38         28         62         29         55         32         85         54         13         84         15         24         28         85         62         24         97 
2          39         77         24         86         15         16        107         66        112         87         11        118        109         59         91        100         27 
4          40         37         98         75          7         85         56        110         51         83        105         60        115          6        102        100         48 
3          41         23         38        110         19         86          5          3         86         47         88         46         54         95         45         69          3 
0          42         32         41        107         96         66         43         98         91         79         86        104        101        101          7         37          6 
1          43        119         17        108         16         59         36         15         77         97         28         19         89         72         61          5         65 
2          44         67         35         39         68         85        118         12         67        119          3         83         97        105         55         92         98 
3          45         55         53         20         12         88         74         79         64         17         88         32         81        111         74         94         28 
3          46         55         46          6         52         45         36         42         49        104         90        116         62         72         13         56        116 
1          47         51         54         71        105         32         21         86         29         22         35         13         66         45        117          7        104 
4          48         15         42        114         18          6         39         63         56         54         56         26         95         49         27         25         47 
4          49         65         27        105          9         23          3         17         24         60         90         83         27         22         72         31         25 
1          50         77         44         37        112        111        114          6         13         64         34        104         44        108         32        118        119 
3          51         58         33        101         41         23        106         25         78         15         92         71         60         54         16        110         42 
0          52         68         31         39        105        112         60        111         98         87         59         85         21         33         20         27         91 
0          53         19        101        108         32         32         70         58         20         35         27          2         11         14          3         90         98 
1          54         97        107         88        109         34         36         95         32        100         11        116         60         13         52          4        109 
3          55        116         76         84        117        110         21         70         43         20         91         93        108        114         30         17         86 
1          56         66          3         21         12         63        107         78         13        106         63        118         83         80        102          9        115 
0          57        109         92        109         77         23        111         26         77         24          8         71         12         43          8         48         53 
1          58         63         46        112         52         31        105        103         96         82          3         62         50         57         47         82         20 
0          59         78         68         67         11         17         76          3        117         64         93         17         34         85          7         85         43 
2          60         95         18         35         53         64         21        110         23        101         87        119        116        104         48          3         71 
1          61         58          2         55        100         78         81         93         33        101         36         47         60         90         96         90          6 
1          62          6          9         33         31         63         65         27        116         29         30        104         45          9         36         45        111 
0          63         39         85        106        102        104         82         41         89         46         65         61         52         29         54         15         88 
3          64         52         28         84         58         35        103         88         38         32        105         38         60         97         22         76        109 
1          65         93         46         65         25         74         57         54        116         17         93         19         74        114         15          3         93 
4          66         81         33         90         50         72        107         55         48         21         57         85          9          5          3         16         92 
0          67         68         14         90         41         44         32         71         15         25         12        102         32        103         24         61         65 
0          68         73          4         50         79         53         99         36         66         29         86         26        105         53          7         66        115 
1          69          4         20         38         55         63         65         41         97         23         79         69         82         15         45        116         80 
3          70         40         88        104         74         91        119         33         33         73         44        109         26         78         42         65         42 
0          71         68         40         58         24         80         97         77         65         66         64         59         64          3         32         85         60 
2          72         32          4         54         12         27          6         76         32         78         15         88         65        118        108         99         52 
4          73         42        103         83         15         59         51         76         97         62         41         53         31         18         80         91         68 
3          74         88         50          6         99         46        110        101        119         60         68         80         11        107         45         67          4 
3          75         88        114        118        114        108         10         45        103        115         36         21         11         92        112         68         50 
2          76         71         67         67         18         76        104        111         80         18         71         17         59        116         46         64         81 
0          77         20        117         74         35          8         10        119         36         24         73         10         90         89         98         58         16 
0          78         87         25         21         17         66         95         14        111         29         19         28         51         68        105        112         83 
4          79         56         15         14         19         21         21         52         17         17        104        116         35         61         20         30         84 
1          80        113         55        103         24         27        117         24        112         90         92         67         50         73         31          7          6 
1          81         72         15         10        101         80         22         52         24         20         95         89         59         42         33         19         50 
4          82         15         37         27        113          4         98        101         36         31         60        116        102        106         72         53         51 
3          83         36         60         39         96         91         47         18        106         14         62         74         15         94         94         35         31 
4          84         41         62        102         64         70         13         63         25         82         79         88          4        108         90         42         84 
0          85         83         86         92        116         98         99          9         93         14          8         88         19        102         20         76        102 
1          86         13         40        115         82         76         49        106        108         27         10         10        101         87        108        103         64 
3          87         91         64         50          5         87         94         96         55         43         95         15         16         34          4         30          4 
4          88         38         47         97          4         26         18        101        101         95        117         28         10        101         92         20         88 
1          89          8         85         18          8        110        111         52         95        113         69          9         20          9         56         32        111 
0          90        119         50        108         80        100         66         10         92         96        111         70         73         17         85        103         73 
4          91        110         53         67         36         10        101          5          9         71          2        103        105         95        118         17        111 
0          92         34         39         19         55         11         72         17          7        104         91         38         28         32         82         22          5 
3          93         58         90         94         45         53         57         29         45         95         68         37         83         62         46         97         49 
1          94        102         18         38         52        112         36         57          3         59         24         26          5        111        107          8         35 
1          95        101         99         62         62        101        114         85         25         28         79         42         91         59          3         89         78 
0          96         11         94         73         83         14        117         21        107         77          5         20         84         98         81         85        111 
1          97          2         53         71         65          2         70         95         68         59        101        112         86         73         90        112         29 
4          98          2         45         80         20         52         40         57         65        104          2         15         13        103        112         49         54 
0          99         16         35         99         78         48         12         69        103         53         49        110        108         47         13         82         77 
4          100         90         23         14         86         79        115         11         66         84         70         69         16         28         91        103        115 
1          101         56         85         34          3         13         91         84        111         64         86         63         83         66        114         64         46 
1          102         21         39         50         66         36         39         92         98         86         57         97         20         78         19        112        119 
0          103         58         76        111         89         13          7         41         32         92         24         42        115         67        117         71         36 
2          104         94        113         17        111        113         63          3         34         80         32         18         13          5         26         52        119 
2          105        118         11         12         73         90        101         62         79         19         14         84         80         12         97        116         48 
0          106         32         17         76          4        109          4         76         55          2         96         20         89         64         24        111         20 
0          107        114        113         56         20         15        117        100         40         88         84        116        100         49         60          6         66 
3          108         66         13        102         58        114         67          9         20         95         62         95         57        109         57         77         88 
3          109         46         60         14         11        101         55        105         30         77         73         25         27         84         61         58         66 
0          110         82         11         73         77         93         81         35         45         19         28         90         72         34         50         36        101 
2          111         86         48         25         92         73         43         74         21         63         12        115        110         89         80         24         45 
2          112        108         27        119         36        115        117         85        117         12         57         51         50        112         16         64         71 
2          113         88        108         77         28         63         26         74        101         92         92         87         49         20        107         79         42 
2          114        106         71         62          4         96        100         89         34         27         33         30         13         64         90         59         69 
4          115         31         84         49         32         42         50         12         51         60         40          6         66         62         80         45         26 
